CLSID,ClassName
{06290BDA-48AA-11D2-8432-006008C3FBFC},CLSID Constructor for Scriptlet ASP Handler
{06290BDB-48AA-11D2-8432-006008C3FBFC},CLSID Constructor for Scriptlet Behavior Handler
{063B79F5-7539-11D2-9773-00A0C9B4D50C},CLSID Microsoft COM+ Services Meta Data
{063B79F6-7539-11D2-9773-00A0C9B4D50C},CLSID Microsoft COM+ Services Meta Data
{063e2de8-aa5b-46e8-8239-b8f7ca43f4c7},CLSID Device Emulator (IEmulatorVirtualMachineManager Interface)
{064CB054-2518-474E-B2E8-200049528C42},CLSID RotService Class
{0655E396-25D0-11D3-9C26-00C04F8EF87C},CLSID SpLexicon Class
{06587E71-F043-403A-BF49-CB591BA6E103},CLSID AudioVolume Class
{06622D85-6856-4460-8DE1-A81921B41C4B},CLSID COpenControlPanel
{067B4B81-B1EC-489f-B111-940EBDC44EBE},CLSID WMDM CE Device Service Provider
{06849E9F-C8D7-4D59-B87D-784B7D6BE0B3},CLSID Adobe PDF Reader Link Helper
{06993B16-A5C7-47EB-B61C-B1CB7EE600AC},CLSID Create and edit Wired policies
{06A03425-C9EB-11d2-8CAA-0080C739E3E0},CLSID Help Collection Wrapper Class
{06A8C798-716B-38C1-8E7A-A3F9F7F39F50},CLSID Microsoft.SqlServer.Management.Smo.Column
{06B32AEE-77DA-484B-973B-5D64F47201B0},CLSID VMR Mixer
{06B81C12-A5DA-340D-AFF7-FA1453FBC29A},CLSID System.Security.Policy.AllMembershipCondition
{06C792F8-6212-4F39-BF70-E8C0AC965C23},CLSID User Account Control Settings
{06CCA63E-9941-441B-B004-39F999ADA412},CLSID MMEndpointManager class
{06D5C954-B198-47E6-82DA-20FEBF69074D},CLSID DevExpress.ExpressApp.TemplateWizard.ExpressAppVBSolutionWizard
{06E5E6D2-A54C-3E1E-B93E-9AF7E31482B8},CLSID Microsoft.SqlServer.Management.Smo.Login
{06EEE695-542D-46F6-AEAB-FA2F1B2102D3},CLSID GameCleanupHandler Class
{06EEE834-461C-42c2-8DCF-1502B527B1F9},CLSID URL Shortcut PropSetStorage Mapping
{0700F42F-EEE3-443a-9899-166F16286796},CLSID HomeGroup Network
{0713E8A2-850A-101B-AFC0-4210102A8DA7},CLSID Microsoft TreeView Control, version 5.0 (SP2)
{0713E8A8-850A-101B-AFC0-4210102A8DA7},CLSID TreeView General Property Page Object
{0713E8D2-850A-101B-AFC0-4210102A8DA7},CLSID Microsoft ProgressBar Control, version 5.0 (SP2)
{0713E8D8-850A-101B-AFC0-4210102A8DA7},CLSID Progress Bar General Property Page Object
{07252659-bb6b-4b79-b78b-623f6699a579},CLSID AudioConstrictor Class
{07398dcf-2e0b-4ece-99dd-56b262db948b},CLSID Search Protocol URL Generator
{078759d3-423b-48ad-ab6a-5638c2884dbe},CLSID Shell Undo Parent Unit
{0795A4D0-2C10-34A0-A051-E2B82D34A88E},CLSID Microsoft.Office.Interop.Outlook.OlBodyFormat
{0798E3C4-0753-3043-8D9D-8AC05ECA561D},CLSID Microsoft.AnalysisServices.ProtectionLevel
{079AA557-4A18-424A-8EEE-E39F0A8D41B9},CLSID SAX XML Reader
{07A774A0-6047-11D1-BA20-006097D2898E},CLSID Logagent Class
{07A7F98A-4036-309D-9469-7933B36EFE18},CLSID Microsoft.SqlServer.Replication.MergeSessionDetail
{07AA0886-CC8D-4e19-A410-1C75AF686E62},CLSID Onex  PLAP Credential Provider
{07B1CFBA-5BEE-4AE6-AF6A-DE68DB150465},CLSID DTSagent Class 10.5
{07B65360-C445-11CE-AFDE-00AA006C14F4},CLSID MIDI Renderer
{07C45BB1-4A8C-4642-A1F5-237E7215FF66},CLSID IE Microsoft BrowserBand
{07C9CB2C-F51C-47EA-B551-7DA02541D586},CLSID VSTO Persistence Word Component
{07DC68FA-A15D-4E44-93DE-645060C7B469},CLSID HandWritingSkinProps Class
{07F94112-A42E-328B-B508-702EF62BCC29},CLSID System.Runtime.InteropServices.COMException
{08050DC9-A50F-3966-9BAE-A7A29DC83E6E},CLSID Microsoft.Office.Interop.Outlook.OlDaysOfWeek
{080d0d78-f421-11d0-a36e-00c04fb950dc},CLSID ADs LDAP Pathname Descriptor Object
{080E9492-1562-4D61-8E0E-F23100735938},CLSID KRDPLogger.clsKRDPLogger
{08165EA0-E946-11CF-9C87-00AA005127ED},CLSID WebCheckWebCrawler
{08229782-89C8-4028-BB74-75BB58EF1488},CLSID IP Security Monitor
{08244EE6-92F0-47f2-9FC9-929BAA2E7235},CLSID Sharing Overlay (Private)
{08295C62-7462-3633-B35E-7AE68ACA3948},CLSID System.ObsoleteAttribute
{0834D5A7-7839-46DC-A2A2-92F7A934ADDA},CLSID SQLFunctions Class
{0835F77A-B9B4-387D-AEBA-CAE90FA12D49},CLSID Microsoft.SqlServer.Management.Smo.Edition
{083863F1-70DE-11D0-BD40-00A0C911CE86},CLSID ActiveMovie Filter Class Manager
{083F2CD8-2F92-363A-A2C7-D3BAABD57332},CLSID Microsoft.SqlServer.Replication.ReplicationUserDefinedFunction
{084BE1A3-2382-36E8-B606-B1D64A3D703F},CLSID Microsoft.Office.Interop.Access.AcObjectType
{088B3BF5-E295-3F76-80D6-A50A2FE6DF9D},CLSID Microsoft.AnalysisServices.AggregationInstanceMeasure
{08906185-C05A-4527-BEDE-097CB37115A9},CLSID FieldLinks Class
{08a99e2f-6d6d-4b80-af5a-baf2bcbe4cb9},CLSID PropVariantCollection Class
{08ACDE59-60D0-4343-992C-DD6A61C5EC8E},CLSID SimpleCommunicationChannel Class
{08d5bfbf-fbca-4322-9f70-ca9f66f8ed6a},CLSID CommonLayoutModifier
{09017262-fdb4-4ff2-9013-26332c926ee7},CLSID Csc Sync
{09050694-56B7-44d2-9086-1F0CBF3AD25C},CLSID VSTO Assembly
{09144FD6-BB29-11DB-96F1-005056C00008},CLSID PBDA DTFilter
{093FF999-1EA0-4079-9525-9614C3504B74},CLSID Windows Script Host Network Object
{09474572-B2FB-11D1-A1A1-0000F875B132},CLSID MMCListPadInfo class
{0955AC62-BF2E-4CBA-A2B9-A63F772D46CF},CLSID BDA Tuning Model MPEG2 Tune Request
{095C017F-5C69-4FDB-BCD4-6EA180280339},CLSID Database Class
{0968e258-16c7-4dba-aa86-462dd61e31a3},CLSID PersistentZoneIdentifier
{0977EEC5-10F7-44AE-A7FA-D4824EBA5C74},CLSID PrintersCacheManager Class
{09799AFB-AD67-11d1-ABCD-00C04FC30936},CLSID Open With Context Menu Handler
{097D5FF1-7EC6-3101-AB79-DB970DA6957E},CLSID Microsoft.SqlServer.Replication.PublicationArticle
{098870b6-39ea-480b-b8b5-dd0167c4db59},CLSID IE OpenService Manager
{098f2470-bae0-11cd-b579-08002b30bfeb},CLSID Null persistent handler
{0997898B-0713-11d2-A4AA-00C04F8EEB3E},CLSID Common Places FS Folder
{099EB543-64EB-4012-9966-0CD501484F65},CLSID FormulaSyntax Class
{09a28848-0e97-4cef-b950-cea037161155},CLSID Remove Properties Drop Target
{09A60795-31C0-3A79-9250-8D93C74FE540},CLSID System.Runtime.Remoting.Metadata.W3cXsd2001.SoapInteger
{09AEB310-E5ED-4BA2-A58B-440FA42CB09C},CLSID Microsoft.AnalysisServices.ClrAssemblyFile
{09C20568-F30C-489B-AE9C-4930AD7F165F},CLSID PSFactoryBuffer
{09DBBC77-588F-4517-A485-74A29759F54C},CLSID PSFactoryBuffer
{0A14D3FF-EC53-450f-AA30-FFBC55BE26A2},CLSID TokenActivation Class
{0A16D195-6F47-4964-9287-9F4BAB6D9827},CLSID PSFactoryBuffer
{0A288AB4-0B59-31AC-8294-A1BC7A5FFEBB},CLSID Microsoft.Office.Interop.Access.AcDataObjectType
{0A29598F-69D9-4380-BA02-A784A5798FE0},CLSID Microsoft.AnalysisServices.MeasureGroup
{0A29FF9E-7F9C-4437-8B11-F424491E3931},CLSID NDP SymBinder
{0A3976C5-4529-4ef8-B0B0-42EED37082CD},CLSID NDP SymReader
{0A522732-A626-11D0-8D60-00C04FD6202B},CLSID CLSID_CExchImport
{0A886F29-465A-4aea-8B8E-BE926BFAE83E},CLSID EapQecMessenger
{0A88C858-7D0C-4549-9499-7DB05F0CB0BF},CLSID Share Home Group
{0A97BD73-F83B-49DE-AB50-639C9BB32306},CLSID MultiColumnArea Class
{0A9AE910-85C0-11D0-BD42-00A0C911CE86},CLSID AVI mux Property Page1
{0AA02E8D-F851-4CB0-9F64-BBA9BE7A983D},CLSID AlchemyVis Class
{0ADDA830-2C26-11D2-AD65-00A0C9AF11A6},CLSID MSM Merge Module COM Object
{0AE2DEB0-F901-478b-BB9F-881EE8066788},CLSID NDP SymWriter
{0AE89F03-C538-4471-9B12-A8E8EF246A0D},CLSID PSFactoryBuffer
{0AEA3667-1039-43ff-8D21-B1A162090671},CLSID AppIdPolicyHelper Class
